hero1,hero2,Friendship
CARNIVORE/COUNT ANDR,LITTLE-ABNER,78
LITTLE-ABNER,PRINCESS ZANDA,72
PRINCESS ZANDA,CARNIVORE/COUNT ANDR,73
PRINCESS ZANDA,BLACK PANTHER/T'CHAL,11
PRINCESS ZANDA,LITTLE-ABNER,45
LITTLE-ABNER,CARNIVORE/COUNT ANDR,53
LITTLE-ABNER,BLACK PANTHER/T'CHAL,11
BLACK PANTHER/T'CHAL,CARNIVORE/COUNT ANDR,75
GHOST,IRON MAN/TONY STARK ,57
GHOST,ZIMMER-ABE,65
GHOST,IRON MAN IV/JAMES R.,93
IRON MAN IV/JAMES R.,IRON MAN/TONY STARK ,9
IRON MAN IV/JAMES R.,ZIMMER-ABE,29
ZIMMER-ABE,IRON MAN/TONY STARK ,67
FU MANCHU,TARR-BLACK JACK,60
FU MANCHU,SMITH-SIR DENIS NAY,24
FU MANCHU,SHANG-CHI,47
SHANG-CHI,TARR-BLACK JACK,34
SHANG-CHI,SMITH-SIR DENIS NAY,30
SMITH-SIR DENIS NAY,TARR-BLACK JACK,15
STARSHINE II/BRANDY ,ROM-SPACEKNIGHT,47
SHANG-CHI,FU MANCHU,75
SHANG-CHI,TARR-BLACK JACK,33
SHANG-CHI,MAN-THING/THEODORE T,72
SHANG-CHI,SMITH-SIR DENIS NAY,97
SMITH-SIR DENIS NAY,FU MANCHU,57
SMITH-SIR DENIS NAY,TARR-BLACK JACK,98
SMITH-SIR DENIS NAY,MAN-THING/THEODORE T,85
MAN-THING/THEODORE T,FU MANCHU,89
MAN-THING/THEODORE T,TARR-BLACK JACK,25
TARR-BLACK JACK,FU MANCHU,97
SHANG-CHI,SMITH-SIR DENIS NAY,92
SHANG-CHI,FU MANCHU,7
SHANG-CHI,TARR-BLACK JACK,94
TARR-BLACK JACK,SMITH-SIR DENIS NAY,4
TARR-BLACK JACK,FU MANCHU,80
FU MANCHU,SMITH-SIR DENIS NAY,76
WU-LEIKO,DOCTOR DREDD,70
WU-LEIKO,TARR-BLACK JACK,80
WU-LEIKO,STARSHINE II/BRANDY ,42
WU-LEIKO,SHANG-CHI,30
WU-LEIKO,ROM-SPACEKNIGHT,99
WU-LEIKO,RESTON-CLIVE,69
WU-LEIKO,SMITH-SIR DENIS NAY,46
WU-LEIKO,JACKSON-STEVE,35
JACKSON-STEVE,DOCTOR DREDD,79
JACKSON-STEVE,TARR-BLACK JACK,30
JACKSON-STEVE,STARSHINE II/BRANDY ,89
JACKSON-STEVE,SHANG-CHI,57
JACKSON-STEVE,ROM-SPACEKNIGHT,67
JACKSON-STEVE,RESTON-CLIVE,18
JACKSON-STEVE,SMITH-SIR DENIS NAY,28
SMITH-SIR DENIS NAY,DOCTOR DREDD,70
SMITH-SIR DENIS NAY,TARR-BLACK JACK,8
SMITH-SIR DENIS NAY,STARSHINE II/BRANDY ,89
SMITH-SIR DENIS NAY,SHANG-CHI,62
SMITH-SIR DENIS NAY,ROM-SPACEKNIGHT,57
SMITH-SIR DENIS NAY,RESTON-CLIVE,69
RESTON-CLIVE,DOCTOR DREDD,76
RESTON-CLIVE,TARR-BLACK JACK,12
RESTON-CLIVE,STARSHINE II/BRANDY ,82
RESTON-CLIVE,SHANG-CHI,96
RESTON-CLIVE,ROM-SPACEKNIGHT,48
ROM-SPACEKNIGHT,DOCTOR DREDD,57
ROM-SPACEKNIGHT,TARR-BLACK JACK,36
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,51
ROM-SPACEKNIGHT,SHANG-CHI,82
SHANG-CHI,DOCTOR DREDD,54
SHANG-CHI,TARR-BLACK JACK,49
SHANG-CHI,STARSHINE II/BRANDY ,58
STARSHINE II/BRANDY ,DOCTOR DREDD,92
STARSHINE II/BRANDY ,TARR-BLACK JACK,31
TARR-BLACK JACK,DOCTOR DREDD,37
SMITH-SIR DENIS NAY,SHANG-CHI,79
SMITH-SIR DENIS NAY,STARSHINE II/BRANDY ,25
SMITH-SIR DENIS NAY,DOCTOR DREDD,17
SMITH-SIR DENIS NAY,RESTON-CLIVE,78
SMITH-SIR DENIS NAY,WU-LEIKO,93
SMITH-SIR DENIS NAY,ROM-SPACEKNIGHT,53
SMITH-SIR DENIS NAY,TARR-BLACK JACK,63
TARR-BLACK JACK,SHANG-CHI,1
TARR-BLACK JACK,STARSHINE II/BRANDY ,68
TARR-BLACK JACK,DOCTOR DREDD,29
TARR-BLACK JACK,RESTON-CLIVE,6
TARR-BLACK JACK,WU-LEIKO,67
TARR-BLACK JACK,ROM-SPACEKNIGHT,46
ROM-SPACEKNIGHT,SHANG-CHI,33
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,49
ROM-SPACEKNIGHT,DOCTOR DREDD,57
ROM-SPACEKNIGHT,RESTON-CLIVE,36
ROM-SPACEKNIGHT,WU-LEIKO,74
WU-LEIKO,SHANG-CHI,23
WU-LEIKO,STARSHINE II/BRANDY ,60
WU-LEIKO,DOCTOR DREDD,73
WU-LEIKO,RESTON-CLIVE,58
RESTON-CLIVE,SHANG-CHI,75
RESTON-CLIVE,STARSHINE II/BRANDY ,8
RESTON-CLIVE,DOCTOR DREDD,56
DOCTOR DREDD,SHANG-CHI,14
DOCTOR DREDD,STARSHINE II/BRANDY ,35
STARSHINE II/BRANDY ,SHANG-CHI,76
MYSTIQUE/RAVEN DARKH,BLOB/FRED J. DUKES,98
MYSTIQUE/RAVEN DARKH,TORPEDO III/BROCK JO,72
MYSTIQUE/RAVEN DARKH,PYRO/ALLERDYCE JOHNN,88
MYSTIQUE/RAVEN DARKH,ROGUE /,100
MYSTIQUE/RAVEN DARKH,DESTINY II/IRENE ADL,27
MYSTIQUE/RAVEN DARKH,ROM-SPACEKNIGHT,36
MYSTIQUE/RAVEN DARKH,HYBRID/JAMES JIMMY M,42
HYBRID/JAMES JIMMY M,BLOB/FRED J. DUKES,79
HYBRID/JAMES JIMMY M,TORPEDO III/BROCK JO,95
HYBRID/JAMES JIMMY M,PYRO/ALLERDYCE JOHNN,40
HYBRID/JAMES JIMMY M,AVALANCHE/DOMINIC PE,50
HYBRID/JAMES JIMMY M,ROGUE /,100
HYBRID/JAMES JIMMY M,DESTINY II/IRENE ADL,22
HYBRID/JAMES JIMMY M,ROM-SPACEKNIGHT,77
ROM-SPACEKNIGHT,BLOB/FRED J. DUKES,60
ROM-SPACEKNIGHT,TORPEDO III/BROCK JO,7
ROM-SPACEKNIGHT,PYRO/ALLERDYCE JOHNN,98
ROM-SPACEKNIGHT,AVALANCHE/DOMINIC PE,97
ROM-SPACEKNIGHT,ROGUE /,15
ROM-SPACEKNIGHT,DESTINY II/IRENE ADL,80
DESTINY II/IRENE ADL,BLOB/FRED J. DUKES,68
DESTINY II/IRENE ADL,TORPEDO III/BROCK JO,57
DESTINY II/IRENE ADL,PYRO/ALLERDYCE JOHNN,100
DESTINY II/IRENE ADL,AVALANCHE/DOMINIC PE,1
DESTINY II/IRENE ADL,ROGUE /,59
ROGUE /,BLOB/FRED J. DUKES,27
ROGUE /,TORPEDO III/BROCK JO,95
ROGUE /,PYRO/ALLERDYCE JOHNN,14
ROGUE /,AVALANCHE/DOMINIC PE,40
AVALANCHE/DOMINIC PE,BLOB/FRED J. DUKES,13
AVALANCHE/DOMINIC PE,TORPEDO III/BROCK JO,82
AVALANCHE/DOMINIC PE,PYRO/ALLERDYCE JOHNN,90
PYRO/ALLERDYCE JOHNN,BLOB/FRED J. DUKES,22
PYRO/ALLERDYCE JOHNN,TORPEDO III/BROCK JO,2
TORPEDO III/BROCK JO,BLOB/FRED J. DUKES,50
CLARK-SARAH,TORPEDO III/BROCK JO,31
CLARK-SARAH,KILLBURN-MACK,79
CLARK-SARAH,STARSHINE II/BRANDY ,56
CLARK-SARAH,JONES-TAMMY ANNE,98
CLARK-SARAH,JACKSON-STEVE,83
CLARK-SARAH,JONES-LORRAINE LORR,55
CLARK-SARAH,JONES-NELL,90
CLARK-SARAH,ROM-SPACEKNIGHT,79
CLARK-SARAH,JONES-DANIEL DANNY,59
CLARK-SARAH,CLARK-JOHN,29
CLARK-SARAH,HYBRID/JAMES JIMMY M,44
HYBRID/JAMES JIMMY M,TORPEDO III/BROCK JO,96
HYBRID/JAMES JIMMY M,KILLBURN-MACK,70
HYBRID/JAMES JIMMY M,STARSHINE II/BRANDY ,90
HYBRID/JAMES JIMMY M,JONES-TAMMY ANNE,30
HYBRID/JAMES JIMMY M,JACKSON-STEVE,16
HYBRID/JAMES JIMMY M,JONES-LORRAINE LORR,91
HYBRID/JAMES JIMMY M,JONES-NELL,86
HYBRID/JAMES JIMMY M,ROM-SPACEKNIGHT,75
HYBRID/JAMES JIMMY M,JONES-DANIEL DANNY,4
HYBRID/JAMES JIMMY M,CLARK-JOHN,100
CLARK-JOHN,TORPEDO III/BROCK JO,92
CLARK-JOHN,KILLBURN-MACK,84
CLARK-JOHN,STARSHINE II/BRANDY ,3
CLARK-JOHN,JONES-TAMMY ANNE,13
CLARK-JOHN,JACKSON-STEVE,68
CLARK-JOHN,JONES-LORRAINE LORR,52
CLARK-JOHN,JONES-NELL,84
CLARK-JOHN,ROM-SPACEKNIGHT,43
CLARK-JOHN,JONES-DANIEL DANNY,72
JONES-DANIEL DANNY,TORPEDO III/BROCK JO,39
JONES-DANIEL DANNY,KILLBURN-MACK,15
JONES-DANIEL DANNY,STARSHINE II/BRANDY ,13
JONES-DANIEL DANNY,JONES-TAMMY ANNE,4
JONES-DANIEL DANNY,JACKSON-STEVE,48
JONES-DANIEL DANNY,JONES-LORRAINE LORR,44
JONES-DANIEL DANNY,JONES-NELL,26
JONES-DANIEL DANNY,ROM-SPACEKNIGHT,73
ROM-SPACEKNIGHT,TORPEDO III/BROCK JO,99
ROM-SPACEKNIGHT,KILLBURN-MACK,83
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,77
ROM-SPACEKNIGHT,JONES-TAMMY ANNE,97
ROM-SPACEKNIGHT,JACKSON-STEVE,80
ROM-SPACEKNIGHT,JONES-LORRAINE LORR,42
ROM-SPACEKNIGHT,JONES-NELL,79
JONES-NELL,TORPEDO III/BROCK JO,64
JONES-NELL,KILLBURN-MACK,71
JONES-NELL,STARSHINE II/BRANDY ,75
JONES-NELL,JONES-TAMMY ANNE,39
JONES-NELL,JACKSON-STEVE,2
JONES-NELL,JONES-LORRAINE LORR,60
JONES-LORRAINE LORR,TORPEDO III/BROCK JO,53
JONES-LORRAINE LORR,KILLBURN-MACK,72
JONES-LORRAINE LORR,STARSHINE II/BRANDY ,34
JONES-LORRAINE LORR,JONES-TAMMY ANNE,57
JONES-LORRAINE LORR,JACKSON-STEVE,2
JACKSON-STEVE,TORPEDO III/BROCK JO,36
JACKSON-STEVE,KILLBURN-MACK,27
JACKSON-STEVE,STARSHINE II/BRANDY ,89
JACKSON-STEVE,JONES-TAMMY ANNE,1
JONES-TAMMY ANNE,TORPEDO III/BROCK JO,96
JONES-TAMMY ANNE,KILLBURN-MACK,72
JONES-TAMMY ANNE,STARSHINE II/BRANDY ,98
STARSHINE II/BRANDY ,TORPEDO III/BROCK JO,74
STARSHINE II/BRANDY ,KILLBURN-MACK,75
KILLBURN-MACK,TORPEDO III/BROCK JO,60
STARSHINE II/BRANDY ,TORPEDO III/BROCK JO,12
STARSHINE II/BRANDY ,KILLBURN-MACK,63
STARSHINE II/BRANDY ,ROM-SPACEKNIGHT,24
STARSHINE II/BRANDY ,JONES-LORRAINE LORR,75
STARSHINE II/BRANDY ,JONES-DANIEL DANNY,23
STARSHINE II/BRANDY ,JONES-TAMMY ANNE,19
STARSHINE II/BRANDY ,JONES-NELL,47
STARSHINE II/BRANDY ,JACKSON-STEVE,56
JACKSON-STEVE,TORPEDO III/BROCK JO,42
JACKSON-STEVE,KILLBURN-MACK,1
JACKSON-STEVE,ROM-SPACEKNIGHT,74
JACKSON-STEVE,JONES-LORRAINE LORR,14
JACKSON-STEVE,JONES-DANIEL DANNY,12
JACKSON-STEVE,JONES-TAMMY ANNE,41
JACKSON-STEVE,JONES-NELL,2
JONES-NELL,TORPEDO III/BROCK JO,62
JONES-NELL,KILLBURN-MACK,36
JONES-NELL,ROM-SPACEKNIGHT,82
JONES-NELL,JONES-LORRAINE LORR,37
JONES-NELL,JONES-DANIEL DANNY,49
JONES-NELL,JONES-TAMMY ANNE,74
JONES-TAMMY ANNE,TORPEDO III/BROCK JO,78
JONES-TAMMY ANNE,KILLBURN-MACK,97
JONES-TAMMY ANNE,ROM-SPACEKNIGHT,47
JONES-TAMMY ANNE,JONES-LORRAINE LORR,62
JONES-TAMMY ANNE,JONES-DANIEL DANNY,86
JONES-DANIEL DANNY,TORPEDO III/BROCK JO,51
JONES-DANIEL DANNY,KILLBURN-MACK,93
JONES-DANIEL DANNY,ROM-SPACEKNIGHT,90
JONES-DANIEL DANNY,JONES-LORRAINE LORR,86
JONES-LORRAINE LORR,TORPEDO III/BROCK JO,84
JONES-LORRAINE LORR,KILLBURN-MACK,70
JONES-LORRAINE LORR,ROM-SPACEKNIGHT,8
ROM-SPACEKNIGHT,TORPEDO III/BROCK JO,15
ROM-SPACEKNIGHT,KILLBURN-MACK,40
KILLBURN-MACK,TORPEDO III/BROCK JO,35
TORPEDO III/BROCK JO,ROM-SPACEKNIGHT,83
TORPEDO III/BROCK JO,KILLBURN-MACK,70
TORPEDO III/BROCK JO,JONES-TAMMY ANNE,73
TORPEDO III/BROCK JO,JACKSON-STEVE,11
TORPEDO III/BROCK JO,STARSHINE II/BRANDY ,13
TORPEDO III/BROCK JO,JONES-DANIEL DANNY,61
TORPEDO III/BROCK JO,ROGUE /,42
TORPEDO III/BROCK JO,DESTINY II/IRENE ADL,96
TORPEDO III/BROCK JO,HYBRID/JAMES JIMMY M,8
TORPEDO III/BROCK JO,MYSTIQUE/RAVEN DARKH,14
TORPEDO III/BROCK JO,JONES-LORRAINE LORR,23
JONES-LORRAINE LORR,ROM-SPACEKNIGHT,34
JONES-LORRAINE LORR,KILLBURN-MACK,15
JONES-LORRAINE LORR,JONES-TAMMY ANNE,77
JONES-LORRAINE LORR,JACKSON-STEVE,93
JONES-LORRAINE LORR,STARSHINE II/BRANDY ,68
JONES-LORRAINE LORR,JONES-DANIEL DANNY,73
JONES-LORRAINE LORR,ROGUE /,7
JONES-LORRAINE LORR,DESTINY II/IRENE ADL,10
JONES-LORRAINE LORR,HYBRID/JAMES JIMMY M,61
JONES-LORRAINE LORR,MYSTIQUE/RAVEN DARKH,61
MYSTIQUE/RAVEN DARKH,ROM-SPACEKNIGHT,75
MYSTIQUE/RAVEN DARKH,KILLBURN-MACK,49
MYSTIQUE/RAVEN DARKH,JONES-TAMMY ANNE,62
MYSTIQUE/RAVEN DARKH,JACKSON-STEVE,41
MYSTIQUE/RAVEN DARKH,STARSHINE II/BRANDY ,58
MYSTIQUE/RAVEN DARKH,JONES-DANIEL DANNY,6
MYSTIQUE/RAVEN DARKH,ROGUE /,88
MYSTIQUE/RAVEN DARKH,DESTINY II/IRENE ADL,17
MYSTIQUE/RAVEN DARKH,HYBRID/JAMES JIMMY M,45
HYBRID/JAMES JIMMY M,ROM-SPACEKNIGHT,55
HYBRID/JAMES JIMMY M,KILLBURN-MACK,63
HYBRID/JAMES JIMMY M,JONES-TAMMY ANNE,71
HYBRID/JAMES JIMMY M,JACKSON-STEVE,37
HYBRID/JAMES JIMMY M,STARSHINE II/BRANDY ,50
HYBRID/JAMES JIMMY M,JONES-DANIEL DANNY,59
HYBRID/JAMES JIMMY M,ROGUE /,61
HYBRID/JAMES JIMMY M,DESTINY II/IRENE ADL,58
DESTINY II/IRENE ADL,ROM-SPACEKNIGHT,98
DESTINY II/IRENE ADL,KILLBURN-MACK,73
DESTINY II/IRENE ADL,JONES-TAMMY ANNE,94
DESTINY II/IRENE ADL,JACKSON-STEVE,97
DESTINY II/IRENE ADL,STARSHINE II/BRANDY ,94
DESTINY II/IRENE ADL,JONES-DANIEL DANNY,79
DESTINY II/IRENE ADL,ROGUE /,67
ROGUE /,ROM-SPACEKNIGHT,3
ROGUE /,KILLBURN-MACK,3
ROGUE /,JONES-TAMMY ANNE,86
ROGUE /,JACKSON-STEVE,35
ROGUE /,STARSHINE II/BRANDY ,68
ROGUE /,JONES-DANIEL DANNY,74
JONES-DANIEL DANNY,ROM-SPACEKNIGHT,40
JONES-DANIEL DANNY,KILLBURN-MACK,9
JONES-DANIEL DANNY,JONES-TAMMY ANNE,79
JONES-DANIEL DANNY,JACKSON-STEVE,56
JONES-DANIEL DANNY,STARSHINE II/BRANDY ,20
STARSHINE II/BRANDY ,ROM-SPACEKNIGHT,29
STARSHINE II/BRANDY ,KILLBURN-MACK,4
STARSHINE II/BRANDY ,JONES-TAMMY ANNE,10
STARSHINE II/BRANDY ,JACKSON-STEVE,83
JACKSON-STEVE,ROM-SPACEKNIGHT,24
JACKSON-STEVE,KILLBURN-MACK,25
JACKSON-STEVE,JONES-TAMMY ANNE,64
JONES-TAMMY ANNE,ROM-SPACEKNIGHT,21
JONES-TAMMY ANNE,KILLBURN-MACK,89
KILLBURN-MACK,ROM-SPACEKNIGHT,51
ROM-SPACEKNIGHT,SUB-MARINER/NAMOR MA,57
ROM-SPACEKNIGHT,VASHTI,31
VASHTI,SUB-MARINER/NAMOR MA,35
VASHTI,SEAWEED MAN,73
VASHTI,ROM-SPACEKNIGHT,87
VASHTI,SUB-MARINER/NAMOR MA,86
SUB-MARINER/NAMOR MA,SEAWEED MAN,26
SUB-MARINER/NAMOR MA,ROM-SPACEKNIGHT,63
ROM-SPACEKNIGHT,SEAWEED MAN,64
ROM-SPACEKNIGHT,JACKSON-STEVE,52
ROM-SPACEKNIGHT,CLARK-JOHN,19
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,54
ROM-SPACEKNIGHT,TORPEDO III/BROCK JO,1
ROM-SPACEKNIGHT,CLARK-SARAH,90
CLARK-SARAH,JACKSON-STEVE,25
CLARK-SARAH,CLARK-JOHN,59
CLARK-SARAH,STARSHINE II/BRANDY ,85
CLARK-SARAH,TORPEDO III/BROCK JO,43
TORPEDO III/BROCK JO,JACKSON-STEVE,59
TORPEDO III/BROCK JO,CLARK-JOHN,81
TORPEDO III/BROCK JO,STARSHINE II/BRANDY ,80
STARSHINE II/BRANDY ,JACKSON-STEVE,7
STARSHINE II/BRANDY ,CLARK-JOHN,33
CLARK-JOHN,JACKSON-STEVE,30
VASHTI,STARSHINE II/BRANDY ,81
VASHTI,SUB-MARINER/NAMOR MA,50
VASHTI,ROM-SPACEKNIGHT,26
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,14
ROM-SPACEKNIGHT,SUB-MARINER/NAMOR MA,2
SUB-MARINER/NAMOR MA,STARSHINE II/BRANDY ,61
JONES-NELL,JONES-LORRAINE LORR,12
JONES-NELL,STARSHINE II/BRANDY ,21
JONES-NELL,JONES-DANIEL DANNY,93
JONES-NELL,TORPEDO III/BROCK JO,60
JONES-NELL,JONES-TAMMY ANNE,78
JONES-NELL,ROM-SPACEKNIGHT,52
ROM-SPACEKNIGHT,JONES-LORRAINE LORR,16
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,49
ROM-SPACEKNIGHT,JONES-DANIEL DANNY,53
ROM-SPACEKNIGHT,TORPEDO III/BROCK JO,55
ROM-SPACEKNIGHT,JONES-TAMMY ANNE,67
JONES-TAMMY ANNE,JONES-LORRAINE LORR,23
JONES-TAMMY ANNE,STARSHINE II/BRANDY ,74
JONES-TAMMY ANNE,JONES-DANIEL DANNY,25
JONES-TAMMY ANNE,TORPEDO III/BROCK JO,32
TORPEDO III/BROCK JO,JONES-LORRAINE LORR,13
TORPEDO III/BROCK JO,STARSHINE II/BRANDY ,72
TORPEDO III/BROCK JO,JONES-DANIEL DANNY,62
JONES-DANIEL DANNY,JONES-LORRAINE LORR,77
JONES-DANIEL DANNY,STARSHINE II/BRANDY ,100
STARSHINE II/BRANDY ,JONES-LORRAINE LORR,28
NOVA/RICHARD RIDER,FIRESTAR/ANGELICA JO,73
NOVA/RICHARD RIDER,THUNDERBALL/DR. ELIO,13
NOVA/RICHARD RIDER,NAMORITA/NITA PRENTI,66
NOVA/RICHARD RIDER,SPEEDBALL/ROBBIE BAL,19
NOVA/RICHARD RIDER,HULK/DR. ROBERT BRUC,46
NOVA/RICHARD RIDER,NIGHT THRASHER/DUANE,68
NOVA/RICHARD RIDER,SPIDER-MAN/PETER PAR,48
SPIDER-MAN/PETER PAR,FIRESTAR/ANGELICA JO,68
SPIDER-MAN/PETER PAR,THUNDERBALL/DR. ELIO,45
SPIDER-MAN/PETER PAR,NAMORITA/NITA PRENTI,87
SPIDER-MAN/PETER PAR,SPEEDBALL/ROBBIE BAL,90
SPIDER-MAN/PETER PAR,HULK/DR. ROBERT BRUC,71
SPIDER-MAN/PETER PAR,NIGHT THRASHER/DUANE,94
NIGHT THRASHER/DUANE,FIRESTAR/ANGELICA JO,19
NIGHT THRASHER/DUANE,THUNDERBALL/DR. ELIO,74
NIGHT THRASHER/DUANE,NAMORITA/NITA PRENTI,67
NIGHT THRASHER/DUANE,SPEEDBALL/ROBBIE BAL,48
NIGHT THRASHER/DUANE,HULK/DR. ROBERT BRUC,5
HULK/DR. ROBERT BRUC,FIRESTAR/ANGELICA JO,69
HULK/DR. ROBERT BRUC,THUNDERBALL/DR. ELIO,8
HULK/DR. ROBERT BRUC,NAMORITA/NITA PRENTI,5
HULK/DR. ROBERT BRUC,SPEEDBALL/ROBBIE BAL,83
SPEEDBALL/ROBBIE BAL,FIRESTAR/ANGELICA JO,27
SPEEDBALL/ROBBIE BAL,THUNDERBALL/DR. ELIO,55
SPEEDBALL/ROBBIE BAL,NAMORITA/NITA PRENTI,16
NAMORITA/NITA PRENTI,FIRESTAR/ANGELICA JO,9
NAMORITA/NITA PRENTI,THUNDERBALL/DR. ELIO,9
THUNDERBALL/DR. ELIO,FIRESTAR/ANGELICA JO,67
JUSTICE II/VANCE AST,SPEEDBALL/ROBBIE BAL,12
JUSTICE II/VANCE AST,NAMORITA/NITA PRENTI,84
JUSTICE II/VANCE AST,HULK/DR. ROBERT BRUC,15
JUSTICE II/VANCE AST,NIGHT THRASHER/DUANE,42
JUSTICE II/VANCE AST,NOVA/RICHARD RIDER,10
JUSTICE II/VANCE AST,FIRESTAR/ANGELICA JO,99
FIRESTAR/ANGELICA JO,SPEEDBALL/ROBBIE BAL,78
FIRESTAR/ANGELICA JO,NAMORITA/NITA PRENTI,41
FIRESTAR/ANGELICA JO,HULK/DR. ROBERT BRUC,96
FIRESTAR/ANGELICA JO,NIGHT THRASHER/DUANE,54
FIRESTAR/ANGELICA JO,NOVA/RICHARD RIDER,57
NOVA/RICHARD RIDER,SPEEDBALL/ROBBIE BAL,97
NOVA/RICHARD RIDER,NAMORITA/NITA PRENTI,41
NOVA/RICHARD RIDER,HULK/DR. ROBERT BRUC,100
NOVA/RICHARD RIDER,NIGHT THRASHER/DUANE,59
NIGHT THRASHER/DUANE,SPEEDBALL/ROBBIE BAL,72
NIGHT THRASHER/DUANE,NAMORITA/NITA PRENTI,45
NIGHT THRASHER/DUANE,HULK/DR. ROBERT BRUC,38
HULK/DR. ROBERT BRUC,SPEEDBALL/ROBBIE BAL,11
HULK/DR. ROBERT BRUC,NAMORITA/NITA PRENTI,75
NAMORITA/NITA PRENTI,SPEEDBALL/ROBBIE BAL,87
TIGRA/GREER NELSON,WASP/JANET VAN DYNE ,68
TIGRA/GREER NELSON,GALACTUS/GALAN,91
TIGRA/GREER NELSON,MOCKINGBIRD/DR. BARB,25
TIGRA/GREER NELSON,SILVER SURFER/NORRIN,87
TIGRA/GREER NELSON,HAWK,19
TIGRA/GREER NELSON,LORD CHAOS,39
TIGRA/GREER NELSON,SCARLET WITCH/WANDA ,83
TIGRA/GREER NELSON,IRON MAN/TONY STARK ,57
TIGRA/GREER NELSON,QUICKSILVER/PIETRO M,1
QUICKSILVER/PIETRO M,WASP/JANET VAN DYNE ,54
QUICKSILVER/PIETRO M,GALACTUS/GALAN,84
QUICKSILVER/PIETRO M,MOCKINGBIRD/DR. BARB,6
QUICKSILVER/PIETRO M,SILVER SURFER/NORRIN,30
QUICKSILVER/PIETRO M,HAWK,97
QUICKSILVER/PIETRO M,LORD CHAOS,22
QUICKSILVER/PIETRO M,SCARLET WITCH/WANDA ,92
QUICKSILVER/PIETRO M,IRON MAN/TONY STARK ,24
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE ,21
IRON MAN/TONY STARK ,GALACTUS/GALAN,76
IRON MAN/TONY STARK ,MOCKINGBIRD/DR. BARB,23
IRON MAN/TONY STARK ,SILVER SURFER/NORRIN,46
IRON MAN/TONY STARK ,HAWK,68
IRON MAN/TONY STARK ,LORD CHAOS,52
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA ,48
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE ,74
SCARLET WITCH/WANDA ,GALACTUS/GALAN,76
SCARLET WITCH/WANDA ,MOCKINGBIRD/DR. BARB,23
SCARLET WITCH/WANDA ,SILVER SURFER/NORRIN,98
SCARLET WITCH/WANDA ,HAWK,97
SCARLET WITCH/WANDA ,LORD CHAOS,63
LORD CHAOS,WASP/JANET VAN DYNE ,66
LORD CHAOS,GALACTUS/GALAN,70
LORD CHAOS,MOCKINGBIRD/DR. BARB,17
LORD CHAOS,SILVER SURFER/NORRIN,69
LORD CHAOS,HAWK,86
