hero1,hero2,Friendship
JONES-TAMMY ANNE,JONES-LORRAINE LORR,62
JONES-TAMMY ANNE,JONES-DANIEL DANNY,86
JONES-DANIEL DANNY,TORPEDO III/BROCK JO,51
JONES-DANIEL DANNY,KILLBURN-MACK,93
JONES-DANIEL DANNY,ROM-SPACEKNIGHT,90
JONES-DANIEL DANNY,JONES-LORRAINE LORR,86
JONES-LORRAINE LORR,TORPEDO III/BROCK JO,84
JONES-LORRAINE LORR,KILLBURN-MACK,70
JONES-LORRAINE LORR,ROM-SPACEKNIGHT,8
ROM-SPACEKNIGHT,TORPEDO III/BROCK JO,15
ROM-SPACEKNIGHT,KILLBURN-MACK,40
KILLBURN-MACK,TORPEDO III/BROCK JO,35
TORPEDO III/BROCK JO,ROM-SPACEKNIGHT,83
TORPEDO III/BROCK JO,KILLBURN-MACK,70
TORPEDO III/BROCK JO,JONES-TAMMY ANNE,73
TORPEDO III/BROCK JO,JACKSON-STEVE,11
TORPEDO III/BROCK JO,STARSHINE II/BRANDY ,13
TORPEDO III/BROCK JO,JONES-DANIEL DANNY,61
TORPEDO III/BROCK JO,ROGUE /,42
TORPEDO III/BROCK JO,DESTINY II/IRENE ADL,96
TORPEDO III/BROCK JO,HYBRID/JAMES JIMMY M,8
TORPEDO III/BROCK JO,MYSTIQUE/RAVEN DARKH,14
TORPEDO III/BROCK JO,JONES-LORRAINE LORR,23
JONES-LORRAINE LORR,ROM-SPACEKNIGHT,34
JONES-LORRAINE LORR,KILLBURN-MACK,15
JONES-LORRAINE LORR,JONES-TAMMY ANNE,77
JONES-LORRAINE LORR,JACKSON-STEVE,93
JONES-LORRAINE LORR,STARSHINE II/BRANDY ,68
JONES-LORRAINE LORR,JONES-DANIEL DANNY,73
JONES-LORRAINE LORR,ROGUE /,7
JONES-LORRAINE LORR,DESTINY II/IRENE ADL,10
JONES-LORRAINE LORR,HYBRID/JAMES JIMMY M,61
JONES-LORRAINE LORR,MYSTIQUE/RAVEN DARKH,61
MYSTIQUE/RAVEN DARKH,ROM-SPACEKNIGHT,75
MYSTIQUE/RAVEN DARKH,KILLBURN-MACK,49
MYSTIQUE/RAVEN DARKH,JONES-TAMMY ANNE,62
MYSTIQUE/RAVEN DARKH,JACKSON-STEVE,41
MYSTIQUE/RAVEN DARKH,STARSHINE II/BRANDY ,58
MYSTIQUE/RAVEN DARKH,JONES-DANIEL DANNY,6
MYSTIQUE/RAVEN DARKH,ROGUE /,88
MYSTIQUE/RAVEN DARKH,DESTINY II/IRENE ADL,17
MYSTIQUE/RAVEN DARKH,HYBRID/JAMES JIMMY M,45
HYBRID/JAMES JIMMY M,ROM-SPACEKNIGHT,55
HYBRID/JAMES JIMMY M,KILLBURN-MACK,63
HYBRID/JAMES JIMMY M,JONES-TAMMY ANNE,71
HYBRID/JAMES JIMMY M,JACKSON-STEVE,37
HYBRID/JAMES JIMMY M,STARSHINE II/BRANDY ,50
HYBRID/JAMES JIMMY M,JONES-DANIEL DANNY,59
HYBRID/JAMES JIMMY M,ROGUE /,61
HYBRID/JAMES JIMMY M,DESTINY II/IRENE ADL,58
DESTINY II/IRENE ADL,ROM-SPACEKNIGHT,98
DESTINY II/IRENE ADL,KILLBURN-MACK,73
DESTINY II/IRENE ADL,JONES-TAMMY ANNE,94
DESTINY II/IRENE ADL,JACKSON-STEVE,97
DESTINY II/IRENE ADL,STARSHINE II/BRANDY ,94
DESTINY II/IRENE ADL,JONES-DANIEL DANNY,79
DESTINY II/IRENE ADL,ROGUE /,67
ROGUE /,ROM-SPACEKNIGHT,3
ROGUE /,KILLBURN-MACK,3
ROGUE /,JONES-TAMMY ANNE,86
ROGUE /,JACKSON-STEVE,35
ROGUE /,STARSHINE II/BRANDY ,68
ROGUE /,JONES-DANIEL DANNY,74
JONES-DANIEL DANNY,ROM-SPACEKNIGHT,40
JONES-DANIEL DANNY,KILLBURN-MACK,9
JONES-DANIEL DANNY,JONES-TAMMY ANNE,79
JONES-DANIEL DANNY,JACKSON-STEVE,56
JONES-DANIEL DANNY,STARSHINE II/BRANDY ,20
STARSHINE II/BRANDY ,ROM-SPACEKNIGHT,29
STARSHINE II/BRANDY ,KILLBURN-MACK,4
STARSHINE II/BRANDY ,JONES-TAMMY ANNE,10
STARSHINE II/BRANDY ,JACKSON-STEVE,83
JACKSON-STEVE,ROM-SPACEKNIGHT,24
JACKSON-STEVE,KILLBURN-MACK,25
JACKSON-STEVE,JONES-TAMMY ANNE,64
JONES-TAMMY ANNE,ROM-SPACEKNIGHT,21
JONES-TAMMY ANNE,KILLBURN-MACK,89
KILLBURN-MACK,ROM-SPACEKNIGHT,51
ROM-SPACEKNIGHT,SUB-MARINER/NAMOR MA,57
ROM-SPACEKNIGHT,VASHTI,31
VASHTI,SUB-MARINER/NAMOR MA,35
VASHTI,SEAWEED MAN,73
VASHTI,ROM-SPACEKNIGHT,87
VASHTI,SUB-MARINER/NAMOR MA,86
SUB-MARINER/NAMOR MA,SEAWEED MAN,26
SUB-MARINER/NAMOR MA,ROM-SPACEKNIGHT,63
ROM-SPACEKNIGHT,SEAWEED MAN,64
ROM-SPACEKNIGHT,JACKSON-STEVE,52
ROM-SPACEKNIGHT,CLARK-JOHN,19
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,54
ROM-SPACEKNIGHT,TORPEDO III/BROCK JO,1
ROM-SPACEKNIGHT,CLARK-SARAH,90
CLARK-SARAH,JACKSON-STEVE,25
CLARK-SARAH,CLARK-JOHN,59
CLARK-SARAH,STARSHINE II/BRANDY ,85
CLARK-SARAH,TORPEDO III/BROCK JO,43
TORPEDO III/BROCK JO,JACKSON-STEVE,59
TORPEDO III/BROCK JO,CLARK-JOHN,81
TORPEDO III/BROCK JO,STARSHINE II/BRANDY ,80
STARSHINE II/BRANDY ,JACKSON-STEVE,7
STARSHINE II/BRANDY ,CLARK-JOHN,33
CLARK-JOHN,JACKSON-STEVE,30
VASHTI,STARSHINE II/BRANDY ,81
VASHTI,SUB-MARINER/NAMOR MA,50
VASHTI,ROM-SPACEKNIGHT,26
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,14
ROM-SPACEKNIGHT,SUB-MARINER/NAMOR MA,2
SUB-MARINER/NAMOR MA,STARSHINE II/BRANDY ,61
JONES-NELL,JONES-LORRAINE LORR,12
JONES-NELL,STARSHINE II/BRANDY ,21
JONES-NELL,JONES-DANIEL DANNY,93
JONES-NELL,TORPEDO III/BROCK JO,60
JONES-NELL,JONES-TAMMY ANNE,78
JONES-NELL,ROM-SPACEKNIGHT,52
ROM-SPACEKNIGHT,JONES-LORRAINE LORR,16
ROM-SPACEKNIGHT,STARSHINE II/BRANDY ,49
ROM-SPACEKNIGHT,JONES-DANIEL DANNY,53
ROM-SPACEKNIGHT,TORPEDO III/BROCK JO,55
ROM-SPACEKNIGHT,JONES-TAMMY ANNE,67
JONES-TAMMY ANNE,JONES-LORRAINE LORR,23
JONES-TAMMY ANNE,STARSHINE II/BRANDY ,74
JONES-TAMMY ANNE,JONES-DANIEL DANNY,25
JONES-TAMMY ANNE,TORPEDO III/BROCK JO,32
TORPEDO III/BROCK JO,JONES-LORRAINE LORR,13
TORPEDO III/BROCK JO,STARSHINE II/BRANDY ,72
TORPEDO III/BROCK JO,JONES-DANIEL DANNY,62
JONES-DANIEL DANNY,JONES-LORRAINE LORR,77
JONES-DANIEL DANNY,STARSHINE II/BRANDY ,100
STARSHINE II/BRANDY ,JONES-LORRAINE LORR,28
NOVA/RICHARD RIDER,FIRESTAR/ANGELICA JO,73
NOVA/RICHARD RIDER,THUNDERBALL/DR. ELIO,13
NOVA/RICHARD RIDER,NAMORITA/NITA PRENTI,66
NOVA/RICHARD RIDER,SPEEDBALL/ROBBIE BAL,19
NOVA/RICHARD RIDER,HULK/DR. ROBERT BRUC,46
NOVA/RICHARD RIDER,NIGHT THRASHER/DUANE,68
NOVA/RICHARD RIDER,SPIDER-MAN/PETER PAR,48
SPIDER-MAN/PETER PAR,FIRESTAR/ANGELICA JO,68
SPIDER-MAN/PETER PAR,THUNDERBALL/DR. ELIO,45
SPIDER-MAN/PETER PAR,NAMORITA/NITA PRENTI,87
SPIDER-MAN/PETER PAR,SPEEDBALL/ROBBIE BAL,90
SPIDER-MAN/PETER PAR,HULK/DR. ROBERT BRUC,71
SPIDER-MAN/PETER PAR,NIGHT THRASHER/DUANE,94
NIGHT THRASHER/DUANE,FIRESTAR/ANGELICA JO,19
NIGHT THRASHER/DUANE,THUNDERBALL/DR. ELIO,74
NIGHT THRASHER/DUANE,NAMORITA/NITA PRENTI,67
NIGHT THRASHER/DUANE,SPEEDBALL/ROBBIE BAL,48
NIGHT THRASHER/DUANE,HULK/DR. ROBERT BRUC,5
HULK/DR. ROBERT BRUC,FIRESTAR/ANGELICA JO,69
HULK/DR. ROBERT BRUC,THUNDERBALL/DR. ELIO,8
HULK/DR. ROBERT BRUC,NAMORITA/NITA PRENTI,5
HULK/DR. ROBERT BRUC,SPEEDBALL/ROBBIE BAL,83
SPEEDBALL/ROBBIE BAL,FIRESTAR/ANGELICA JO,27
SPEEDBALL/ROBBIE BAL,THUNDERBALL/DR. ELIO,55
SPEEDBALL/ROBBIE BAL,NAMORITA/NITA PRENTI,16
NAMORITA/NITA PRENTI,FIRESTAR/ANGELICA JO,9
NAMORITA/NITA PRENTI,THUNDERBALL/DR. ELIO,9
THUNDERBALL/DR. ELIO,FIRESTAR/ANGELICA JO,67
JUSTICE II/VANCE AST,SPEEDBALL/ROBBIE BAL,12
JUSTICE II/VANCE AST,NAMORITA/NITA PRENTI,84
JUSTICE II/VANCE AST,HULK/DR. ROBERT BRUC,15
JUSTICE II/VANCE AST,NIGHT THRASHER/DUANE,42
JUSTICE II/VANCE AST,NOVA/RICHARD RIDER,10
JUSTICE II/VANCE AST,FIRESTAR/ANGELICA JO,99
FIRESTAR/ANGELICA JO,SPEEDBALL/ROBBIE BAL,78
FIRESTAR/ANGELICA JO,NAMORITA/NITA PRENTI,41
FIRESTAR/ANGELICA JO,HULK/DR. ROBERT BRUC,96
FIRESTAR/ANGELICA JO,NIGHT THRASHER/DUANE,54
FIRESTAR/ANGELICA JO,NOVA/RICHARD RIDER,57
NOVA/RICHARD RIDER,SPEEDBALL/ROBBIE BAL,97
NOVA/RICHARD RIDER,NAMORITA/NITA PRENTI,41
NOVA/RICHARD RIDER,HULK/DR. ROBERT BRUC,100
NOVA/RICHARD RIDER,NIGHT THRASHER/DUANE,59
NIGHT THRASHER/DUANE,SPEEDBALL/ROBBIE BAL,72
NIGHT THRASHER/DUANE,NAMORITA/NITA PRENTI,45
NIGHT THRASHER/DUANE,HULK/DR. ROBERT BRUC,38
HULK/DR. ROBERT BRUC,SPEEDBALL/ROBBIE BAL,11
HULK/DR. ROBERT BRUC,NAMORITA/NITA PRENTI,75
NAMORITA/NITA PRENTI,SPEEDBALL/ROBBIE BAL,87
TIGRA/GREER NELSON,WASP/JANET VAN DYNE ,68
TIGRA/GREER NELSON,GALACTUS/GALAN,91
TIGRA/GREER NELSON,MOCKINGBIRD/DR. BARB,25
TIGRA/GREER NELSON,SILVER SURFER/NORRIN,87
TIGRA/GREER NELSON,HAWK,19
TIGRA/GREER NELSON,LORD CHAOS,39
TIGRA/GREER NELSON,SCARLET WITCH/WANDA ,83
TIGRA/GREER NELSON,IRON MAN/TONY STARK ,57
TIGRA/GREER NELSON,QUICKSILVER/PIETRO M,1
QUICKSILVER/PIETRO M,WASP/JANET VAN DYNE ,54
QUICKSILVER/PIETRO M,GALACTUS/GALAN,84
QUICKSILVER/PIETRO M,MOCKINGBIRD/DR. BARB,6
QUICKSILVER/PIETRO M,SILVER SURFER/NORRIN,30
QUICKSILVER/PIETRO M,HAWK,97
QUICKSILVER/PIETRO M,LORD CHAOS,22
QUICKSILVER/PIETRO M,SCARLET WITCH/WANDA ,92
QUICKSILVER/PIETRO M,IRON MAN/TONY STARK ,24
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE ,21
IRON MAN/TONY STARK ,GALACTUS/GALAN,76
IRON MAN/TONY STARK ,MOCKINGBIRD/DR. BARB,23
IRON MAN/TONY STARK ,SILVER SURFER/NORRIN,46
IRON MAN/TONY STARK ,HAWK,68
IRON MAN/TONY STARK ,LORD CHAOS,52
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA ,48
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE ,74
SCARLET WITCH/WANDA ,GALACTUS/GALAN,76
SCARLET WITCH/WANDA ,MOCKINGBIRD/DR. BARB,23
SCARLET WITCH/WANDA ,SILVER SURFER/NORRIN,98
SCARLET WITCH/WANDA ,HAWK,97
SCARLET WITCH/WANDA ,LORD CHAOS,63
LORD CHAOS,WASP/JANET VAN DYNE ,66
LORD CHAOS,GALACTUS/GALAN,70
LORD CHAOS,MOCKINGBIRD/DR. BARB,17
LORD CHAOS,SILVER SURFER/NORRIN,69
LORD CHAOS,HAWK,86
HAWK,WASP/JANET VAN DYNE ,82
HAWK,GALACTUS/GALAN,17
HAWK,MOCKINGBIRD/DR. BARB,67
